park_name,pos_x,pos_y
남산도시자연공원,37.5501402,126.9903773
길동생태공원,37.5403935,127.1547791
서울대공원,37.4264494,127.0198465
서울숲,37.5430717,127.0417982
월드컵공원,37.571805,126.878907
광화문시민열린마당,37.5750449,126.9780227
진관근린공원(구파발폭포),37.6370244,126.9192155
중마루근린공원,37.519832,126.9112668
응봉공원,37.5572281,127.0217653
매화근린공원,37.5575833,126.86115
성수근린공원,37.5448144,127.0524023
샛마을근린공원,37.5504807,127.1471618
여의도근린공원,37.526129,126.922377
간데메근린공원,37.5732438,127.0488644
훈련원근린공원,37.5675245,127.0038188
영등포근린공원,37.515423,126.910662
보라매근린공원,37.492333,126.918289
어린이대공원,37.5498987,127.0809212
천호근린공원,37.5444741,127.1263451
용산가족공원,37.522226,126.983335
독립근린공원,37.5738289,126.956771
낙산근린공원,37.580477,127.007587
양재시민의숲,37.471225,127.035042
관악산도시자연공원,37.445208,126.96413
효창근린공원,37.545234,126.95993
감로천생태공원(관악산),37.469625,126.9079509
개운산근린공원,37.5965837,127.0252858
개웅산근린공원,37.4888943,126.8485734
경희궁,37.570773,126.9685341
국립현충원,37.4998621,126.9736849
계남근린공원,37.5138358,126.8479643
고척근린공원,37.5042944,126.8521495
파리근린공원,37.5349739,126.8763932
허준공원,37.5679874,126.8526745
궁동근린공원,37.5690506,126.9229851
궁산근린공원,37.5735645,126.838952
까치산근린공원,37.4845836,126.9640735
꿩고개근린공원,37.5801585,126.8157075
노량진공원,37.510234,126.928607
답십리근린공원,37.5750896,127.0626512
대모산도시자연공원,37.4796489,127.0809639
탑골근린공원,37.5710052,126.9882853
갈산근린공원,37.5082119,126.8689146
천마근린공원,37.5005173,127.1586644
도곡근린공원,37.4903127,127.0450338
도산근린공원,37.5246752,127.0350296
청량공원,37.6020055,127.0511145
초안산근린공원,37.648316,127.0455446
동명근린공원,37.5598341,127.1676703
마로니에공원,37.5802295,127.0027886
자매근린공원,37.5177329,126.9302895
장지근린공원,37.4957083,127.1387
명일근린공원,37.5537143,127.1613641
방화근린공원,37.5819812,126.8132285
아시아근린공원,37.5102779,127.0762885
배봉산근린공원,37.5812324,127.0641623
안산도시자연공원,37.5798246,126.9390273
염창근린공원,37.5579702,126.8689817
백련근린공원,37.5879662,126.928616
오금근린공원,37.5038715,127.1323957
오동근린공원,37.6327957,127.0317269
봉산도시자연공원,37.604071,126.9020153
온수도시자연공원,37.5002598,126.83695
봉은공원,37.5139026,127.0554961
올림픽공원,37.520934,127.122959
와룡근린공원,37.5907944,126.9901672
봉화산근린공원,37.6106404,127.0923625
북악산도시자연공원,37.5929992,126.9737295
북한산국립공원,37.624549,127.000938
외국인묘지공원,37.546797,126.911414
불광근린공원,37.6188016,126.9298962
불암산도시자연공원,37.6636719,127.0952714
용마폭포공원,37.5731968,127.0905888
사육신공원,37.5137049,126.948636
용왕산근린공원,37.5429593,126.8783125
사직근린공원,37.5759864,126.9674018
우장산근린공원,37.5541932,126.844932
삼일근린공원,37.4860183,126.9743686
삼청근린공원,37.5895821,126.9842875
인왕산도시자연공원,37.5849001,126.9578438
상도근린공원,37.492299,126.9385469
일자산도시자연공원,37.5431657,127.1574587
쌍문근린공원,37.6531456,127.0271316
수락산도시자연공원,37.699232,127.0813633
송파나루근린공원(석촌호수),37.5069328,127.0983002
선유도근린공원,37.543418,126.90014
손기정체육공원,37.5560189,126.9652702
성북근린공원,37.5948509,127.0078625
봉제산공원,37.5421979,126.8517836
서울창포원,37.689585,127.047938
북서울꿈의숲,37.6233355,127.0407344
서서울호수공원,37.5278392,126.8304789
중랑캠핑숲,37.6049896,127.1093075
솔밭근린공원,37.652331,127.0116241
금천체육공원(관악산),37.468164,126.908681
금천폭포근린공원,37.4468663,126.9040127
만수천공원(관악산),37.4734274,126.9090028
발바닥공원,37.6597135,127.031982
월천근린공원,37.6473889,127.0509895
용두근린공원,37.5732791,127.0390042
상암근린공원,37.5760106,126.8859012
와우근린공원,37.5517298,126.9289936
금호근린공원,37.5494726,127.0189457
달맞이근린공원,37.543564,127.0212054
문정근린공원,37.4862156,127.1275819
문화예술공원,37.467654,127.030517
세종로공원,37.5735,126.9758875
샘말공원(관악산),37.4642128,126.938511
초안산생태공원,37.6479483,127.0405382
푸른수목원,37.483029,126.82407
서오능도시자연공원,37.6374823,126.9134338
청계산도시자연공원,37.4224347,127.0424726
개화근린공원,37.5813917,126.8068278
아차산생태공원,37.5517142,127.1010031
인능산도시자연공원,37.4482109,127.0666632
구룡산,37.4689473,127.061567
우면산도시자연공원,37.470484,127.0091324
향림근린공원,37.6293824,126.9240693
신사근린공원,37.5920771,126.9102948
문화역 서울284,37.5558722,126.9715923
광평근린공원,37.4880445,127.092184
청담근린공원,37.5213259,127.052453
허브천문공원,37.5372715,127.1533951
연신내물빛공원,37.619052,126.9207354
나들이근린공원,37.6054218,127.113261
숭인근린공원,37.5764419,127.0178267
서일대뒷산공원,37.5877155,127.0987817
용마도시자연공원(사가정공원),37.5797622,127.095997
문화비축기지,37.57171848,126.8932455
경춘선숲길,37.627077,127.076482
율현공원,37.472332,127.115594
